spines,branch_third,condition,compartment,peak_voltage
20,1,plaque,dend,65.85895613959669
20,1,plaque,dend,66.64993911264455
20,1,plaque,dend,63.6572332283295
20,1,plaque,dend,65.75673162986668
20,1,plaque,dend,63.43366804382546
20,1,SAAeq,soma,4.5089394219955565
20,1,SAAeq,soma,4.681946688923098
20,1,SAAeq,soma,3.947094814638554
20,1,SAAeq,soma,4.852824008921715
20,1,SAAeq,soma,5.187301782033707
20,1,SAAeq,soma,3.5635089039231715
20,1,SAAeq,soma,3.9134189476862247
20,1,SAAeq,soma,4.264359902573233
20,1,SAAeq,soma,4.41244813377029
20,1,SAAeq,soma,4.466546670244568
20,1,SAAeq,soma,4.140649212427427
20,1,SAAeq,soma,3.7313011200195945
20,1,SAAeq,soma,4.714303257272022
20,1,SAAeq,soma,3.563763530761392
20,1,SAAeq,soma,3.838912372865252
20,1,SAAeq,soma,4.078256315364229
20,1,SAAeq,soma,4.512884514623316
20,1,SAAeq,soma,4.571068702217147
20,1,SAAeq,soma,4.2892895807689015
20,1,SAAeq,soma,4.3725779619650424
20,1,SAAeq,soma,5.268361389464289
20,1,SAAeq,soma,3.9122011680323823
20,1,SAAeq,soma,4.4080109325565076
20,1,SAAeq,soma,4.264245284220166
20,1,SAAeq,soma,4.425761642826551
20,1,SAAeq,soma,4.033575785511935
20,1,SAAeq,soma,3.925831541764694
20,1,SAAeq,soma,4.077164480476348
20,1,SAAeq,soma,3.917537161184484
20,1,SAAeq,soma,4.036382520398348
20,1,SAAeq,soma,3.852133989976558
20,1,SAAeq,soma,4.468943865489464
20,1,SAAeq,soma,3.942655038763675
20,1,SAAeq,soma,4.166971819599489
20,1,SAAeq,soma,4.150206190730799
20,1,SAAeq,soma,4.01838002394318
20,1,SAAeq,soma,4.551102404344292
20,1,SAAeq,soma,5.000775817384799
20,1,SAAeq,soma,3.788819446914296
20,1,SAAeq,soma,4.789957373541057
20,1,SAAeq,soma,4.006166739003071
20,1,SAAeq,soma,4.595940450788348
20,1,SAAeq,soma,4.28060676497595
20,1,SAAeq,soma,4.089427680685418
20,1,SAAeq,soma,4.276452434574168
20,1,SAAeq,soma,4.466046439824318
20,1,SAAeq,soma,4.160333732251544
20,1,SAAeq,soma,4.824089435258166
20,1,SAAeq,soma,4.154814086155511
20,1,SAAeq,soma,4.500510590490187
20,1,SAAeq,soma,4.550987972908956
20,1,SAAeq,soma,4.16198017025291
20,1,SAAeq,soma,4.869391147621279
20,1,SAAeq,soma,4.148509285128732
20,1,SAAeq,soma,4.33841435189651
20,1,SAAeq,soma,4.500137048695862
20,1,SAAeq,soma,3.415591317967383
20,1,SAAeq,soma,3.480329407686021
20,1,SAAeq,soma,4.207639651219395
20,1,SAAeq,soma,3.703429775717744
20,1,SAAeq,soma,4.380061665767826
20,1,SAAeq,soma,4.740438836925421
20,1,SAAeq,soma,4.729338621691568
20,1,SAAeq,soma,4.545731147182238
20,1,SAAeq,soma,4.25629611292252
20,1,SAAeq,soma,4.480807639706519
20,1,SAAeq,soma,4.10298147199984
20,1,SAAeq,soma,4.473798254117341
20,1,SAAeq,soma,3.936198985565781
20,1,SAAeq,soma,3.256359396280807
20,1,SAAeq,soma,3.9268766637943386
20,1,SAAeq,soma,4.396827827631533
20,1,SAAeq,soma,3.7464825466260123
20,1,SAAeq,soma,4.159843507319216
20,1,SAAeq,soma,4.728177278293913
20,1,SAAeq,soma,4.771794555955083
20,1,SAAeq,soma,4.101806779077968
20,1,SAAeq,soma,4.135217115151633
20,1,SAAeq,soma,4.29573041996629
20,1,SAAeq,soma,4.736195455068355
20,1,SAAeq,soma,4.302004189637209
20,1,SAAeq,soma,3.9838018611770636
20,1,SAAeq,soma,4.3283825100930216
20,1,SAAeq,soma,3.9352443386253952
20,1,SAAeq,soma,4.0463195864526185
20,1,SAAeq,soma,4.419950211761652
20,1,SAAeq,soma,4.567348519137745
20,1,SAAeq,soma,4.310091393086495
20,1,SAAeq,soma,4.394330171873946
20,1,SAAeq,soma,3.683129336782123
20,1,SAAeq,soma,4.296575842697095
20,1,SAAeq,soma,3.612324191759818
20,1,SAAeq,soma,3.807361334429004
20,1,SAAeq,soma,4.506422660724965
20,1,SAAeq,soma,4.067997248015196
20,1,SAAeq,soma,4.32305095684854
20,1,SAAeq,soma,4.792853433799543
20,1,SAAeq,soma,4.148990306463162
20,1,SAAeq,soma,3.7059789619648527
20,1,SAAeq,soma,4.489720382199522
20,1,SAAeq,dend,66.85280945381531
20,1,SAAeq,dend,67.62145865567057
20,1,SAAeq,dend,64.99152620135627
20,1,SAAeq,dend,65.81549795569735
20,1,SAAeq,dend,67.28351081982942
20,1,SAAeq,dend,62.07496848914579
20,1,SAAeq,dend,62.425199243117184
20,1,SAAeq,dend,63.18987687122099
20,1,SAAeq,dend,64.39312351710127
20,1,SAAeq,dend,64.34110993494657
20,1,SAAeq,dend,66.52321268164222
20,1,SAAeq,dend,65.86672526434197
20,1,SAAeq,dend,65.36844853418711
20,1,SAAeq,dend,65.7727483629844
20,1,SAAeq,dend,64.64235520665036
20,1,SAAeq,dend,66.12031587995253
20,1,SAAeq,dend,66.60811806010439
20,1,SAAeq,dend,65.68186184690306
20,1,SAAeq,dend,65.94377575787084
20,1,SAAeq,dend,65.95017838761349
20,1,SAAeq,dend,62.24172003250348
20,1,SAAeq,dend,65.51197810924826
20,1,SAAeq,dend,65.95198760749587
20,1,SAAeq,dend,65.72572847969919
20,1,SAAeq,dend,65.97420417159888
20,1,SAAeq,dend,64.5529634138805
20,1,SAAeq,dend,65.48077954727204
20,1,SAAeq,dend,64.41999912989813
20,1,SAAeq,dend,66.61176104390424
20,1,SAAeq,dend,64.91803251505173
20,1,SAAeq,dend,65.20794020242809
20,1,SAAeq,dend,66.27550292271343
20,1,SAAeq,dend,66.70570047493005
20,1,SAAeq,dend,63.99531032132811
20,1,SAAeq,dend,64.38791648968756
20,1,SAAeq,dend,65.87809975539194
20,1,SAAeq,dend,66.13926731113577
20,1,SAAeq,dend,66.60889220552826
20,1,SAAeq,dend,65.92586010043726
20,1,SAAeq,dend,66.96708630587187
20,1,SAAeq,dend,63.23825251161888
20,1,SAAeq,dend,65.97010854439718
20,1,SAAeq,dend,66.10264247224036
20,1,SAAeq,dend,66.81719525578974
20,1,SAAeq,dend,65.28008047352901
20,1,SAAeq,dend,65.55558610633592
20,1,SAAeq,dend,66.92717608095819
20,1,SAAeq,dend,66.54535766333244
20,1,SAAeq,dend,65.96018864284885
20,1,SAAeq,dend,67.17996237415905
20,1,SAAeq,dend,67.81971277452939
20,1,SAAeq,dend,63.98200957842451
20,1,SAAeq,dend,65.69736122558213
20,1,SAAeq,dend,67.38288683760764
20,1,SAAeq,dend,67.01971918667483
20,1,SAAeq,dend,66.93485707827269
20,1,SAAeq,dend,63.306008850049324
20,1,SAAeq,dend,63.886466115411444
20,1,SAAeq,dend,65.37775316523633
20,1,SAAeq,dend,62.94615284239964
20,1,SAAeq,dend,66.68964508340555
20,1,SAAeq,dend,67.25538105471634
20,1,SAAeq,dend,66.70950188550202
20,1,SAAeq,dend,66.6689940656729
20,1,SAAeq,dend,66.0127492127197
20,1,SAAeq,dend,66.05061785835508
20,1,SAAeq,dend,63.95412739994269
20,1,SAAeq,dend,65.66114942403277
20,1,SAAeq,dend,65.63196302157554
20,1,SAAeq,dend,62.44043190996087
20,1,SAAeq,dend,65.99957674170385
20,1,SAAeq,dend,62.818844769336195
20,1,SAAeq,dend,64.9784451779108
20,1,SAAeq,dend,65.62831740952086
20,1,SAAeq,dend,66.76577631516564
20,1,SAAeq,dend,66.58963041550547
20,1,SAAeq,dend,64.98575958603408
20,1,SAAeq,dend,64.75895832275216
20,1,SAAeq,dend,65.48266722969628
20,1,SAAeq,dend,66.97526409896201
20,1,SAAeq,dend,66.66108883031141
20,1,SAAeq,dend,66.01841388606466
20,1,SAAeq,dend,67.03213777351668
20,1,SAAeq,dend,66.08567265520016
20,1,SAAeq,dend,65.61549229635723
20,1,SAAeq,dend,65.64756406075209
20,1,SAAeq,dend,67.3887684210744
20,1,SAAeq,dend,66.39441480463145
20,1,SAAeq,dend,66.597415532549
20,1,SAAeq,dend,65.03245334449845
20,1,SAAeq,dend,65.39326336628862
20,1,SAAeq,dend,63.11906706367877
20,1,SAAeq,dend,65.1662918930232
20,1,SAAeq,dend,66.28523368850573
20,1,SAAeq,dend,66.58304291352351
20,1,SAAeq,dend,65.97234877895018
20,1,SAAeq,dend,66.80550807061991
20,1,SAAeq,dend,65.8727592739897
20,1,SAAeq,dend,66.0918933491211
20,1,SAAeq,dend,66.3223584466256
20,1,SAAred,soma,3.858552039373059
20,1,SAAred,soma,4.539384981855967
20,1,SAAred,soma,3.9627694810342646
20,1,SAAred,soma,4.19382268275465
20,1,SAAred,soma,4.115242726184789
20,1,SAAred,soma,3.3920020050291626
20,1,SAAred,soma,3.593040613004092
20,1,SAAred,soma,3.8549653395226784
20,1,SAAred,soma,3.816716738329646
20,1,SAAred,soma,3.32005039860433
20,1,SAAred,soma,4.028541777811718
20,1,SAAred,soma,3.454107744492717
20,1,SAAred,soma,3.5246552961177287
20,1,SAAred,soma,3.788271603652511
20,1,SAAred,soma,4.905857170299917
20,1,SAAred,soma,4.223087249138906
20,1,SAAred,soma,4.590966106675879
20,1,SAAred,soma,3.959297238373537
20,1,SAAred,soma,3.7210720342632584
20,1,SAAred,soma,4.418839058094235
20,1,SAAred,soma,3.24139917829622
20,1,SAAred,soma,3.925523961350791
20,1,SAAred,soma,4.410558632982351
20,1,SAAred,soma,3.641113080996078
20,1,SAAred,soma,3.6834244525294437
20,1,SAAred,soma,3.710403277681003
20,1,SAAred,soma,3.9738113833242394
20,1,SAAred,soma,3.7559924724206155
20,1,SAAred,soma,3.5957056804061693
20,1,SAAred,soma,3.6145607590208826
20,1,SAAred,soma,3.9855280893991534
20,1,SAAred,soma,3.617989444653226
20,1,SAAred,soma,4.2795311822024615
20,1,SAAred,soma,3.8851847161162283
20,1,SAAred,soma,4.6788428635586286
20,1,SAAred,soma,4.312142629087461
20,1,SAAred,soma,3.801017374926353
20,1,SAAred,soma,3.4676082826031873
20,1,SAAred,soma,3.8598667755952363
20,1,SAAred,soma,3.381716199382957
20,1,SAAred,soma,4.413355379974369
20,1,SAAred,soma,3.259759928734546
20,1,SAAred,soma,4.249376625142588
20,1,SAAred,soma,3.7096740430886896
20,1,SAAred,soma,3.918161169834633
20,1,SAAred,soma,3.5800943037790702
20,1,SAAred,soma,3.7006955731936557
20,1,SAAred,soma,3.538919306431893
20,1,SAAred,soma,4.521572991157193
20,1,SAAred,soma,3.872917670570807
20,1,SAAred,soma,4.4435522393744975
20,1,SAAred,soma,3.5839354540392137
20,1,SAAred,soma,4.06316143157656
20,1,SAAred,soma,3.4329851713707313
20,1,SAAred,soma,4.208426946533358
20,1,SAAred,soma,3.4027008685268143
20,1,SAAred,soma,3.735699016912335
20,1,SAAred,soma,3.7432249422746793
20,1,SAAred,soma,3.9457518253528576
20,1,SAAred,soma,3.6605167017443065
20,1,SAAred,soma,4.00050719786104
20,1,SAAred,soma,3.366779828822118
20,1,SAAred,soma,3.940490280593899
20,1,SAAred,soma,4.203520699737474
20,1,SAAred,soma,3.9039466990453633
20,1,SAAred,soma,3.7492695449934033
20,1,SAAred,soma,4.433323371853724
20,1,SAAred,soma,4.265652792417384
20,1,SAAred,soma,3.994731327371696
20,1,SAAred,soma,4.288097000281454
20,1,SAAred,soma,4.117940780204911
20,1,SAAred,soma,3.874179392619496
20,1,SAAred,soma,3.397197920183885
20,1,SAAred,soma,3.6226249091496427
20,1,SAAred,soma,3.7842821498438752
20,1,SAAred,soma,4.431748053770185
20,1,SAAred,soma,4.356427152590683
20,1,SAAred,soma,4.087519367642699
20,1,SAAred,soma,3.9232222342060368
