spines,branch_third,condition,soma_peak
20,1,SAAeq,3.63794702606679
20,1,SAAeq,4.596385453188944
20,1,SAAred,4.26000647229295
20,1,SAAred,3.843569176887435
20,1,SAAred,4.405860388456794
20,1,SAAred,4.331240900947137
20,1,SAAred,4.2228262580402
20,1,SAAred,3.987175612874651
20,1,SAAred,4.088335314960837
20,1,SAAred,3.665378542474272
20,1,SAAred,3.598130266011381
20,1,SAAred,4.764793802256854
20,1,SAAred,4.453874417855957
20,1,SAAred,4.287085892224944
20,1,SAAred,3.7968540621995714
20,1,SAAred,4.467819453214389
20,1,SAAred,3.6210805509954653
20,1,SAAred,4.482945596190781
20,1,SAAred,3.7090003388659483
20,1,SAAred,4.024663669925864
20,1,SAAred,4.039354938188978
20,1,SAAred,3.499728753364721
20,1,SAAred,3.4801881563289427
20,1,SAAred,3.730119300900398
20,1,SAAred,4.035787432187227
20,1,SAAred,4.038093521753218
20,1,SAAred,3.524534335736945
20,1,SAAred,3.9326243205993663
20,1,SAAred,3.9102365951459817
20,1,SAAred,3.590872355905148
20,1,SAAred,3.556964161622453
20,1,SAAred,3.7952920575593367
20,1,SAAred,4.230437284692037
20,1,SAAred,3.384033614333383
20,1,SAAred,4.06611841187533
20,1,SAAred,3.677519974962145
20,1,SAAred,4.077772261771727
20,1,SAAred,3.7358367962417915
20,1,SAAred,3.9953294735351506
20,1,SAAred,4.030036027771466
20,1,SAAred,4.135149155651078
20,1,SAAred,3.938867877021856
20,1,SAAred,4.043377126478887
20,1,SAAred,4.41399522660253
20,1,SAAred,3.921505870806449
20,1,SAAred,3.631278932209838
20,1,SAAred,3.6704277687591116
20,1,SAAred,4.050833288931187
20,1,SAAred,4.222637931615893
20,1,SAAred,3.3794372671984263
20,1,SAAred,4.654983610616796
20,1,SAAred,4.123746028520131
20,2,WT,4.860992648616175
20,2,WT,4.949962670070228
20,2,WT,4.536551815689613
20,2,WT,4.883879269207981
20,2,WT,4.804680318380875
20,2,WT,4.109659878739436
20,2,WT,4.5306323905522845
20,2,WT,4.322096773939023
20,2,WT,4.499808165290325
20,2,WT,5.128354643756339
20,2,WT,5.035807296920893
20,2,WT,4.996195974197221
20,2,WT,4.383785701806431
20,2,WT,4.016202203644347
20,2,WT,4.067675493247627
20,2,WT,5.222538491442748
20,2,WT,4.264344375385534
20,2,WT,4.570053536601819
20,2,WT,4.495311588819874
20,2,WT,4.596016965800963
20,2,WT,4.7418809269590625
20,2,WT,4.537945882076109
20,2,WT,4.46534759568533
20,2,WT,5.0317403926661015
20,2,WT,4.664301423986316
20,2,WT,4.184093050586036
20,2,WT,4.485216280910976
20,2,WT,5.2495612755148855
20,2,WT,4.3672943481810265
20,2,WT,4.629233625886457
20,2,WT,4.220480303056348
20,2,WT,5.177570502699332
20,2,WT,3.6557836380981072
20,2,WT,4.124871884916928
20,2,WT,4.521548372214397
20,2,WT,4.5863648812027975
20,2,WT,4.649438487422927
20,2,WT,4.347063846313979
20,2,WT,4.101846941299129
20,2,WT,5.7964161394224405
20,2,WT,4.627508382711419
20,2,WT,5.851990782297172
20,2,WT,4.108013057772617
20,2,WT,4.7797966699947665
20,2,WT,4.8254671039158765
20,2,WT,4.732970282962583
20,2,WT,5.097928964880403
20,2,WT,4.862562039084764
20,2,WT,4.466445965589287
20,2,WT,3.983311181513514
20,2,plaque,4.783762031044297
20,2,plaque,4.897710678507842
20,2,plaque,4.0062606006623795
20,2,plaque,4.151368987534937
20,2,plaque,4.658326744434127
20,2,plaque,5.433561629795797
20,2,plaque,5.586166786214719
20,2,plaque,4.71277093643635
20,2,plaque,4.763503940551814
20,2,plaque,4.39180040524176
20,2,plaque,4.053634169305546
20,2,plaque,4.306030588447044
20,2,plaque,4.71028046283589
20,2,plaque,3.8574655943519076
20,2,plaque,5.137685573118418
20,2,plaque,3.752482482424128
20,2,plaque,4.946101946195434
20,2,plaque,5.016738321306015
20,2,plaque,4.302918557547407
20,2,plaque,4.002969162926313
20,2,plaque,4.853520890048301
20,2,plaque,4.797326654853819
20,2,plaque,4.614403724723225
20,2,plaque,3.9856808449402337
20,2,plaque,4.830706198478694
20,2,plaque,4.066700936592106
20,2,plaque,5.144400763278092
20,2,plaque,4.633133527097172
20,2,plaque,3.6869721365738855
20,2,plaque,4.196350152133597
20,2,plaque,3.531177084251624
20,2,plaque,4.502528809698575
20,2,plaque,4.775445818085231
20,2,plaque,5.113075303289499
20,2,plaque,5.6908945042413634
20,2,plaque,4.515875630259437
20,2,plaque,4.615453215269547
20,2,plaque,4.754889346110431
20,2,plaque,4.7772919495724295
20,2,plaque,5.460752773798518
20,2,plaque,4.169908829821189
20,2,plaque,3.9531000081584295
20,2,plaque,4.40605724526479
20,2,plaque,4.195123672469393
20,2,plaque,4.442923127865164
20,2,plaque,5.324385085231754
20,2,plaque,5.0501251574276935
20,2,plaque,3.433383001853656
20,2,plaque,4.513422553416504
20,2,plaque,3.674741127261427
20,2,SAAeq,4.3928339365353395
20,2,SAAeq,4.739882782549458
20,2,SAAeq,4.784280686948755
20,2,SAAeq,5.615826283678416
20,2,SAAeq,5.2991458707409365
20,2,SAAeq,4.87128963217252
20,2,SAAeq,5.314634007607758
20,2,SAAeq,4.042986485280899
20,2,SAAeq,4.943414625714425
20,2,SAAeq,4.122501306529067
20,2,SAAeq,5.403098657736081
20,2,SAAeq,4.746060886951895
20,2,SAAeq,4.650969921180057
20,2,SAAeq,5.288058897807581
20,2,SAAeq,4.204046823574053
20,2,SAAeq,5.133651180543588
20,2,SAAeq,4.370529557900447
20,2,SAAeq,3.93472531324943
20,2,SAAeq,4.3407934562908395
20,2,SAAeq,5.387403516705632
20,2,SAAeq,3.9600931866098534
20,2,SAAeq,4.484110305670171
20,2,SAAeq,4.947716269247465
20,2,SAAeq,4.886511920983509
20,2,SAAeq,4.947134635008993
20,2,SAAeq,4.654369055792117
20,2,SAAeq,4.258268864691374
20,2,SAAeq,4.396761983022877
20,2,SAAeq,5.987288369037856
20,2,SAAeq,5.501578123597639
20,2,SAAeq,4.5297553706462494
20,2,SAAeq,4.45886495340735
20,2,SAAeq,4.386661522700614
20,2,SAAeq,4.543940369287526
20,2,SAAeq,4.825506171728449
20,2,SAAeq,4.4148285435326216
20,2,SAAeq,5.463110117224197
20,2,SAAeq,4.6690599443641005
20,2,SAAeq,4.2396856441173725
20,2,SAAeq,4.840071060089663
20,2,SAAeq,4.621106897835112
20,2,SAAeq,3.8908776412235397
20,2,SAAeq,5.180035368070385
20,2,SAAeq,4.374839151621472
20,2,SAAeq,4.387971094194434
20,2,SAAeq,4.939564547335223
20,2,SAAeq,4.669245695038448
20,2,SAAeq,4.354467254454136
20,2,SAAeq,3.797467925696047
20,2,SAAeq,5.043376691548659
20,2,SAAred,4.243569646673137
20,2,SAAred,3.9220322978775215
20,2,SAAred,4.5486749037276795
20,2,SAAred,4.09693560300105
20,2,SAAred,3.665459709387193
20,2,SAAred,4.531464875687533
20,2,SAAred,3.998666159914613
20,2,SAAred,4.366048185499281
20,2,SAAred,5.088761207468238
20,2,SAAred,5.0097063115266565
20,2,SAAred,3.5777734979389493
20,2,SAAred,4.2446458057267265
20,2,SAAred,4.428911528743356
20,2,SAAred,4.022163099039766
20,2,SAAred,4.282164299773811
20,2,SAAred,4.792676760400326
20,2,SAAred,5.070998919651544
20,2,SAAred,4.190188030201533
20,2,SAAred,4.019583538717946
20,2,SAAred,5.454220767815286
20,2,SAAred,4.699822334086093
20,2,SAAred,4.8256815554640085
20,2,SAAred,3.394932957900913
20,2,SAAred,3.997384395612876
20,2,SAAred,3.6245013569993816
20,2,SAAred,5.1513553672015036
20,2,SAAred,4.187495514763306
20,2,SAAred,4.996324431828697
20,2,SAAred,3.876228613587209
20,2,SAAred,5.173886853407389
20,2,SAAred,4.429532025441162
20,2,SAAred,3.8389958885011453
20,2,SAAred,5.5597710208177915
20,2,SAAred,4.536231585783867
20,2,SAAred,4.143441235707279
20,2,SAAred,4.447758074823895
20,2,SAAred,3.4815661719168602
20,2,SAAred,4.933469407955307
20,2,SAAred,3.4283260437882177
20,2,SAAred,4.540828329093863
20,2,SAAred,4.321846104657531
20,2,SAAred,4.6850853608011676
20,2,SAAred,4.727281252047206
20,2,SAAred,4.461885129467767
20,2,SAAred,4.405039348334341
20,2,SAAred,4.809217118775507
20,2,SAAred,3.739427606770171
20,2,SAAred,4.246787465047511
20,2,SAAred,4.002802619571824
20,2,SAAred,4.501249622143355
20,3,WT,4.35775449719106
20,3,WT,5.083744820206974
20,3,WT,4.078692410535162
20,3,WT,3.939309999064669
20,3,WT,4.489518783363756
20,3,WT,4.368369712481119
20,3,WT,4.239174589253047
20,3,WT,4.778839091167342
20,3,WT,5.47701663611614
20,3,WT,4.618638597045212
20,3,WT,5.211779275876793
20,3,WT,4.8469466801404835
20,3,WT,4.268436451785696
20,3,WT,4.707139526014828
20,3,WT,4.114650303727288
20,3,WT,4.536187196985729
20,3,WT,4.4089679218573465
20,3,WT,4.882193843234759
20,3,WT,4.808255269754831
20,3,WT,5.134635161164383
20,3,WT,4.09928093751347
20,3,WT,4.174970574054797
20,3,WT,4.481116446643604
20,3,WT,4.695652779780843
20,3,WT,4.017362719499964
20,3,WT,4.663330842872611
20,3,WT,4.282561460633296
20,3,WT,5.148078626748216
20,3,WT,4.591970063601501
20,3,WT,4.425779750563812
20,3,WT,4.018589948676464
20,3,WT,4.447670591877575
20,3,WT,4.261963615456828
20,3,WT,5.222046907417699
20,3,WT,4.155224584026044
20,3,WT,5.7904326528411545
20,3,WT,4.12988480525199
20,3,WT,4.732919088016054
20,3,WT,4.480101603022412
20,3,WT,4.882249019468212
20,3,WT,4.9014268691222185
20,3,WT,4.916222943969522
20,3,WT,4.814835623834689
20,3,WT,4.6110340051527885
20,3,WT,5.00040004143608
20,3,WT,4.020343335577664
20,3,WT,3.918877978146135
20,3,WT,4.772592938335784
20,3,WT,4.021702549015252
20,3,WT,5.365668658452535
20,3,plaque,5.002131148550411
20,3,plaque,4.23284749887906
20,3,plaque,4.420897921276293
20,3,plaque,4.465013951424318
20,3,plaque,3.890763092919201
20,3,plaque,4.876547065999354
20,3,plaque,4.444560247356854
20,3,plaque,4.310557773454214
20,3,plaque,4.263281593482191
20,3,plaque,3.638394284045411
20,3,plaque,4.464177204184466
20,3,plaque,4.403974520071273
20,3,plaque,4.740226443775562
20,3,plaque,4.173503760564401
20,3,plaque,4.826093954476633
20,3,plaque,5.202394674730385
20,3,plaque,5.034709863049315
20,3,plaque,4.885172083543992
20,3,plaque,4.572619274738166
20,3,plaque,4.5777613859079125
20,3,plaque,4.667934145535924
20,3,plaque,5.477004072604025
20,3,plaque,4.081255181320643
20,3,plaque,5.116486589861992
20,3,plaque,4.826668763106504
20,3,plaque,3.9082476081936264
20,3,plaque,3.93590707161043
