spines,branch_third,condition,compartment,peak_voltage
20,2,WT,soma,3.6557836380981072
20,2,WT,soma,4.124871884916928
20,2,WT,soma,4.521548372214397
20,2,WT,soma,4.5863648812027975
20,2,WT,soma,4.649438487422927
20,2,WT,soma,4.347063846313979
20,2,WT,soma,4.101846941299129
20,2,WT,soma,5.7964161394224405
20,2,WT,soma,4.627508382711419
20,2,WT,soma,5.851990782297172
20,2,WT,soma,4.108013057772617
20,2,WT,soma,4.7797966699947665
20,2,WT,soma,4.8254671039158765
20,2,WT,soma,4.732970282962583
20,2,WT,soma,5.097928964880403
20,2,WT,soma,4.862562039084764
20,2,WT,soma,4.466445965589287
20,2,WT,soma,3.983311181513514
20,2,WT,dend,65.74471569709922
20,2,WT,dend,67.86187017245175
20,2,WT,dend,65.33107619770622
20,2,WT,dend,66.93897305763973
20,2,WT,dend,64.55821633961095
20,2,WT,dend,66.71544415152479
20,2,WT,dend,67.37156067599433
20,2,WT,dend,67.71281157140557
20,2,WT,dend,64.79001117892278
20,2,WT,dend,65.01265204644258
20,2,WT,dend,67.22165162180367
20,2,WT,dend,67.49822057052242
20,2,WT,dend,66.69791209541162
20,2,WT,dend,67.24273885807825
20,2,WT,dend,67.67258418018694
20,2,WT,dend,67.32447114550666
20,2,WT,dend,64.54902527680373
20,2,WT,dend,67.26210559256799
20,2,WT,dend,67.24605503209315
20,2,WT,dend,67.37093626365777
20,2,WT,dend,67.45762691784856
20,2,WT,dend,66.86381005387518
20,2,WT,dend,67.03424741727703
20,2,WT,dend,65.45235577379884
20,2,WT,dend,65.2866209590074
20,2,WT,dend,64.74571335987507
20,2,WT,dend,65.72431755107793
20,2,WT,dend,67.0989082010106
20,2,WT,dend,67.95883475945428
20,2,WT,dend,65.32610161974057
20,2,WT,dend,67.3328426418626
20,2,WT,dend,68.12157455098492
20,2,WT,dend,61.93083269869041
20,2,WT,dend,66.53008560084024
20,2,WT,dend,66.54582774101229
20,2,WT,dend,65.15579417393955
20,2,WT,dend,66.40462378431948
20,2,WT,dend,66.05975838805251
20,2,WT,dend,67.35705116565973
20,2,WT,dend,67.5301091827214
20,2,WT,dend,67.38511522384822
20,2,WT,dend,66.60700368993689
20,2,WT,dend,67.89828948060686
20,2,WT,dend,66.16906714985443
20,2,WT,dend,67.29511574234638
20,2,WT,dend,67.22493564340168
20,2,WT,dend,67.7496382408602
20,2,WT,dend,66.4203989738193
20,2,WT,dend,65.83244943112278
20,2,WT,dend,64.5762359418477
20,2,plaque,soma,4.783762031044297
20,2,plaque,soma,4.897710678507842
20,2,plaque,soma,4.0062606006623795
20,2,plaque,soma,4.151368987534937
20,2,plaque,soma,4.658326744434127
20,2,plaque,soma,5.433561629795797
20,2,plaque,soma,5.586166786214719
20,2,plaque,soma,4.71277093643635
20,2,plaque,soma,4.763503940551814
20,2,plaque,soma,4.39180040524176
20,2,plaque,soma,4.053634169305546
20,2,plaque,soma,4.306030588447044
20,2,plaque,soma,4.71028046283589
20,2,plaque,soma,3.8574655943519076
20,2,plaque,soma,5.137685573118418
20,2,plaque,soma,3.752482482424128
20,2,plaque,soma,4.946101946195434
20,2,plaque,soma,5.016738321306015
20,2,plaque,soma,4.302918557547407
20,2,plaque,soma,4.002969162926313
20,2,plaque,soma,4.853520890048301
20,2,plaque,soma,4.797326654853819
20,2,plaque,soma,4.614403724723225
20,2,plaque,soma,3.9856808449402337
20,2,plaque,soma,4.830706198478694
20,2,plaque,soma,4.066700936592106
20,2,plaque,soma,5.144400763278092
20,2,plaque,soma,4.633133527097172
20,2,plaque,soma,3.6869721365738855
20,2,plaque,soma,4.196350152133597
20,2,plaque,soma,3.531177084251624
20,2,plaque,soma,4.502528809698575
20,2,plaque,soma,4.775445818085231
20,2,plaque,soma,5.113075303289499
20,2,plaque,soma,5.6908945042413634
20,2,plaque,soma,4.515875630259437
20,2,plaque,soma,4.615453215269547
20,2,plaque,soma,4.754889346110431
20,2,plaque,soma,4.7772919495724295
20,2,plaque,soma,5.460752773798518
20,2,plaque,soma,4.169908829821189
20,2,plaque,soma,3.9531000081584295
20,2,plaque,soma,4.40605724526479
20,2,plaque,soma,4.195123672469393
20,2,plaque,soma,4.442923127865164
20,2,plaque,soma,5.324385085231754
20,2,plaque,soma,5.0501251574276935
20,2,plaque,soma,3.433383001853656
20,2,plaque,soma,4.513422553416504
20,2,plaque,soma,3.674741127261427
20,2,plaque,dend,63.45319357789389
20,2,plaque,dend,66.48292681959899
20,2,plaque,dend,66.04934846824084
20,2,plaque,dend,66.54313855605625
20,2,plaque,dend,67.57088588262292
20,2,plaque,dend,66.8955957482846
20,2,plaque,dend,67.66098165295898
20,2,plaque,dend,64.95228846197533
20,2,plaque,dend,67.1197962387905
20,2,plaque,dend,66.73022778562726
20,2,plaque,dend,66.48545960565174
20,2,plaque,dend,66.53636348427308
20,2,plaque,dend,67.64515907624536
20,2,plaque,dend,66.60781802652365
20,2,plaque,dend,66.94316109070849
20,2,plaque,dend,66.0882736386597
20,2,plaque,dend,66.02867681258262
20,2,plaque,dend,66.87347883210663
20,2,plaque,dend,63.243683685814375
20,2,plaque,dend,67.4706553816974
20,2,plaque,dend,66.9817695406821
20,2,plaque,dend,67.23722740617339
20,2,plaque,dend,67.87433808415456
20,2,plaque,dend,66.23814730727103
20,2,plaque,dend,66.69467752052707
20,2,plaque,dend,63.23013984217366
20,2,plaque,dend,68.09206046001208
20,2,plaque,dend,67.21272530541118
20,2,plaque,dend,66.33198806900991
20,2,plaque,dend,66.93481613394721
20,2,plaque,dend,65.82082908269875
20,2,plaque,dend,67.34645267085396
20,2,plaque,dend,67.147077878648
20,2,plaque,dend,67.03882385017417
20,2,plaque,dend,67.23417884224473
20,2,plaque,dend,65.2394336435365
20,2,plaque,dend,67.36709124702351
20,2,plaque,dend,66.10761449027206
20,2,plaque,dend,66.8569737381964
20,2,plaque,dend,67.00996274853838
20,2,plaque,dend,66.63022050421624
20,2,plaque,dend,64.36058142962355
20,2,plaque,dend,66.86898238018965
20,2,plaque,dend,67.08082757978079
20,2,plaque,dend,66.9251345927215
20,2,plaque,dend,66.57089979648553
20,2,plaque,dend,67.64465862932931
20,2,plaque,dend,63.87461058110304
20,2,plaque,dend,67.67193189061767
20,2,plaque,dend,66.93891394692172
20,2,SAAeq,soma,4.3928339365353395
20,2,SAAeq,soma,4.739882782549458
20,2,SAAeq,soma,4.784280686948755
20,2,SAAeq,soma,5.615826283678416
20,2,SAAeq,soma,5.2991458707409365
20,2,SAAeq,soma,4.87128963217252
20,2,SAAeq,soma,5.314634007607758
20,2,SAAeq,soma,4.042986485280899
20,2,SAAeq,soma,4.943414625714425
20,2,SAAeq,soma,4.122501306529067
20,2,SAAeq,soma,5.403098657736081
20,2,SAAeq,soma,4.746060886951895
20,2,SAAeq,soma,4.650969921180057
20,2,SAAeq,soma,5.288058897807581
20,2,SAAeq,soma,4.204046823574053
20,2,SAAeq,soma,5.133651180543588
20,2,SAAeq,soma,4.370529557900447
20,2,SAAeq,soma,3.93472531324943
20,2,SAAeq,soma,4.3407934562908395
20,2,SAAeq,soma,5.387403516705632
20,2,SAAeq,soma,3.9600931866098534
20,2,SAAeq,soma,4.484110305670171
20,2,SAAeq,soma,4.947716269247465
20,2,SAAeq,soma,4.886511920983509
20,2,SAAeq,soma,4.947134635008993
20,2,SAAeq,soma,4.654369055792117
20,2,SAAeq,soma,4.258268864691374
20,2,SAAeq,soma,4.396761983022877
20,2,SAAeq,soma,5.987288369037856
20,2,SAAeq,soma,5.501578123597639
20,2,SAAeq,soma,4.5297553706462494
20,2,SAAeq,soma,4.45886495340735
20,2,SAAeq,soma,4.386661522700614
20,2,SAAeq,soma,4.543940369287526
